sample_id,tepname,Temperature,tepvalue
9,alpha,434.1,0.000208479
9,alpha,445.594,0.0002074809999999
9,alpha,456.705,0.0002074809999999
9,alpha,468.582,0.000204489
9,alpha,479.693,0.000202494
9,rho,297.5431798407549,7.733925780489957e-06
9,rho,308.9797375879585,8.201626731515503e-06
9,rho,320.53835219351635,8.69781167323932e-06
9,rho,331.54310465405854,9.224652183079833e-06
9,rho,343.26537612529825,9.900337503672704e-06
9,rho,354.6990293442841,1.0500016946500328e-05
9,rho,366.1508106562785,1.1004745415281112e-05
9,rho,376.842607360109,1.153426698884093e-05
9,rho,388.624342245731,1.2379981622646474e-05
9,rho,399.9723779198941,1.2975974995821396e-05
9,rho,411.6517822183641,1.360034734056636e-05
9,rho,422.8340958280798,1.425541943457977e-05
9,rho,433.8903587433882,1.4942387680605158e-05
9,rho,445.2357207423764,1.5662460906334112e-05
9,rho,457.3303251499143,1.6222956362729588e-05
9,rho,468.8241770965975,1.680389658007835e-05
9,rho,479.6561309718036,1.7406441706549553e-05
9,kappa,297.749,1.22074
9,kappa,331.518,1.12753
9,kappa,377.489,1.07275
9,kappa,422.729,1.08743
9,kappa,479.442,1.19264
9,ZT,297.581,1.09358
9,ZT,309.004,1.12891
9,ZT,320.059,1.16934
9,ZT,331.849,1.19449
9,ZT,343.638,1.21963
9,ZT,354.69,1.23462
9,ZT,366.479,1.25467
9,ZT,377.529,1.25439
9,ZT,388.578,1.24902
9,ZT,399.995,1.23855
9,ZT,411.778,1.2179
9,ZT,422.824,1.18708
9,ZT,433.869,1.15627
9,ZT,445.282,1.11526
9,ZT,457.43,1.06406
9,ZT,468.84,1.00779
10,alpha,305.002,6.8736e-05
10,alpha,325.787,7.60126e-05
10,alpha,370.144,9.6438e-05
10,alpha,417.284,0.000121265
10,alpha,465.813,0.0001475569999999
10,alpha,512.962,0.0001753259999999
10,alpha,560.111,0.000203094
10,alpha,608.601,0.000217622
10,alpha,658.456,0.000226262
10,alpha,706.927,0.000234907
10,alpha,756.763,0.0002376649999999
10,alpha,803.836,0.0002419039999999
10,alpha,855.037,0.000238775
10,alpha,903.489,0.000241538
10,rho,306.571,4.93057e-06
10,rho,325.709,5.302059999999999e-06
10,rho,368.085,6.16852e-06
10,rho,415.913,8.01861e-06
10,rho,463.734,1.02373e-05
10,rho,511.539,1.3315799999999995e-05
10,rho,559.33,1.7131499999999997e-05
10,rho,608.495,2.05789e-05
10,rho,656.325,2.23061e-05
10,rho,702.8,2.34189e-05
10,rho,752.014,2.42864e-05
10,rho,801.226,2.52768e-05
10,rho,849.068,2.6389800000000003e-05
10,rho,899.645,2.75032e-05
10,kappa,303.162,3.41445
10,kappa,324.779,3.26257
10,kappa,369.43,2.63274
10,kappa,415.394,2.17684
10,kappa,465.378,1.85143
10,kappa,512.654,1.56946
10,kappa,559.91,1.38532
10,kappa,608.504,1.25554
10,kappa,657.089,1.16924
10,kappa,707.02,1.09384
10,kappa,754.244,1.06187
10,kappa,804.158,1.07342
10,kappa,852.715,1.11755
10,kappa,903.961,1.20521
10,ZT,304.981,0.0898021
10,ZT,325.023,0.10707
10,ZT,370.812,0.21036
10,ZT,416.589,0.35145
10,ZT,464.257,0.547531
10,ZT,511.918,0.760794
10,ZT,560.533,0.980934
10,ZT,608.21,1.14952
10,ZT,656.838,1.32843
10,ZT,704.505,1.52451
10,ZT,754.104,1.6553
10,ZT,801.805,1.75173
10,ZT,850.503,1.71757
10,ZT,901.13,1.62844
11,alpha,307.339,-6.36271e-05
11,alpha,328.081,-6.958580000000001e-05
11,alpha,351.577,-7.996639999999999e-05
11,alpha,372.333,-8.15133e-05
11,alpha,395.829,-9.1894e-05
11,alpha,417.95,-9.93283e-05
11,alpha,442.829,-0.000109714
11,alpha,466.349,-0.000112742
11,alpha,488.456,-0.000124588
11,alpha,513.359,-0.000127621
11,alpha,535.466,-0.000139467
11,alpha,561.763,-0.000139563
11,alpha,583.865,-0.0001528799999999
11,alpha,607.39,-0.000154437
11,alpha,633.629,-0.000172181
11,alpha,657.163,-0.0001707969999999
11,alpha,684.802,-0.0001841339999999
11,alpha,704.169,-0.000187146
11,alpha,729.049,-0.000197532
11,alpha,755.322,-0.0002049819999999
11,alpha,780.211,-0.000212426
11,alpha,802.337,-0.0002183899999999
11,alpha,825.852,-0.000222888
11,alpha,852.13,-0.0002288669999999
11,alpha,874.294,-0.0002230659999999
11,alpha,899.188,-0.00022904
11,rho,301.107,4.56119e-06
11,rho,324.344,5.179e-06
11,rho,348.935,6.411279999999999e-06
11,rho,370.825,5.92324e-06
11,rho,392.682,7.1551e-06
11,rho,415.937,6.7901199999999984e-06
11,rho,440.533,7.7767e-06
11,rho,461.049,7.657e-06
11,rho,487.008,8.88948e-06
11,rho,512.998,8.52492e-06
11,rho,537.587,9.88005e-06
11,rho,559.475,9.51486e-06
11,rho,585.42,1.14844e-05
11,rho,608.668,1.1488e-05
11,rho,631.883,1.32115e-05
11,rho,653.761,1.3337699999999998e-05
11,rho,679.699,1.56758e-05
11,rho,701.561,1.6661999999999997e-05
11,rho,727.499,1.90001e-05
11,rho,750.719,2.04779e-05
11,rho,775.288,2.2938600000000004e-05
11,rho,799.854,2.55223e-05
11,rho,823.067,2.73686e-05
11,rho,848.986,3.06895e-05
11,rho,870.843,3.19214e-05
11,rho,898.14,3.47511e-05
11,kappa,305.792,3.74058
11,kappa,326.084,3.46911
11,kappa,372.073,2.89365
11,kappa,418.042,2.41601
11,kappa,465.325,2.10143
11,kappa,515.302,1.80863
