dbname,dbversion,dbpubname,sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
tematdb,v1.1.6,teMatDb272,362,2020.0,https://doi.org/10.1039/d0ee02638g,10.1039/d0ee02638g,Figure 5(f),x = 0.004,Sb2Te3(Sn0.006Re0.004Te)8,,Bi2Te3,Sb2Te3,SbTeSnReTe,Sb2Te3(Sn0.006Re0.004Te)8,
tematdb,v1.1.6,teMatDb272,363,2021.0,https://doi.org/10.1039/d0ee03459b,10.1039/d0ee03459b,Figure 9(b),n = 0.3,Cu0.033PbSb0.03TeSe0.06,,PbTe,PbTe,CuPbSbTeSe,Cu0.033PbSb0.03TeSe0.06,
tematdb,v1.1.6,teMatDb272,364,2021.0,https://doi.org/10.1039/d0ee02791j,10.1039/d0ee02791j,Figure 2(d),Ge0.92Sb0.04Bi0.04Te0.95Se0.05,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,,GeTe,GeTe,GeSbBiTeSe,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,
tematdb,v1.1.6,teMatDb272,365,2016.0,https://doi.org/10.1039/d0ee01349h,10.1039/d0ee01349h,Figure 2(a),BTS+15Te+0.20Sb,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,,Bi2Te3,Bi2Te3,BiSbTeSe,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,
tematdb,v1.1.6,teMatDb272,366,2019.0,https://doi.org/10.1039/c9ee01137d,10.1039/c9ee01137d,Figure 6(a) ,x = 0.02,PbTeCu0.002,,PbTe,PbTe,PbTeCu,PbTeCu0.002,
tematdb,v1.1.6,teMatDb272,367,2020.0,https://doi.org/10.1039/c9ee03087e,10.1039/c9ee03087e,Figure 8,x = 6%,Pb0.98K0.02Se + 6% CdSe,,Selenide,PbSe,PbKSeCdSe,Pb0.98K0.02Se + 6% CdSe,
tematdb,v1.1.6,teMatDb272,368,2020.0,https://doi.org/10.1039/c9ee03897c,10.1039/c9ee03897c,Figure 6(c) ,"x = 1, out of plane",SnSe0.95+x%PbBr2,,Selenide,SnSe,SnSePbBr2,SnSe0.95 + 1% PbBr2,
tematdb,v1.1.6,teMatDb272,369,2019.0,https://doi.org/10.1039/c8ee03386b,10.1039/c8ee03386b,Figure 7(c) ,x=3,PbSe + 3% CdSe,,Selenide,PbSe,PbSeCdSe,PbSe + 3% CdSe,
tematdb,v1.1.6,teMatDb272,372,2016.0,https://doi.org/10.1039/c6ee02017h,10.1039/c6ee02017h,Figure 1(b),M: Cu x = 0.005,,,Bi2Te3,Bi2Te3,"BiSbMTe (M=Cd, Cu, Ag)",Bi0.5Sb1.495Cu0.005Te3,
tematdb,v1.1.6,teMatDb272,373,2017.0,https://doi.org/10.1039/c7ee00098g,10.1039/c7ee00098g,Figure 4(b),x= 0.15,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,,Zintl,Mg3Sb2,MgNbSbBiTe,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,
