DOI,sample_id,YEAR,DOIlink,dbnanme,dbversion,pykeri_compatible,TF_matzt_complete,TF_mat_complete,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval,cri_product_def,cri_product_1o2,cri_product_1o5
10.1021/ja0647811,274,2006.0,https://DOI.org/10.1021/ja0647811,tematdb,v1.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
10.1002/adfm.201001307,275,2011.0,https://DOI.org/10.1002/adfm.201001307,tematdb,v1.1.6,True,True,True,0.9790794979079498,True,298.12,767.647,291.409,769.072,300.0,766.0,292.0,768.0,300.0,766.0,466.0,476.0,466.0,0.9454973631245628,0.9441189579875632,1.5016,1.5074692271286287,-3.0,0.0013784051369998,-0.0058692271286286,0.0486157841363943,0.0181503118946542,0.0134773649199904,True,True,True,True,0.0514182122895984,0.0514932824143488,0.0323759883700015,0.0322499346994935,True,True,False
10.1016/j.jallcom.2004.01.018,276,2004.0,https://DOI.org/10.1016/j.jallcom.2004.01.018,tematdb,v1.1.6,True,True,True,1.0,True,324.23924449108,714.8132950348811,324.293785310734,715.254237288135,326.0,714.0,326.0,714.0,326.0,714.0,388.0,388.0,388.0,0.4725962035832116,0.4723998769099405,0.8632271468144059,0.8653721596192332,0.0,0.000196326673271,-0.0021450128048272,0.0128072809919062,0.0037840447825039,0.0026179310617425,True,True,True,True,0.0270998389212645,0.0271111014585378,0.0148365132389189,0.0147997377192506,True,True,True
10.1016/j.physb.2007.02.067,277,,https://DOI.org/10.1016/j.physb.2007.02.067,tematdb,v1.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
10.1016/S0925-8388(02)00917-9,278,2003.0,https://DOI.org/10.1016/S0925-8388(02)00917-9,tematdb,v1.1.6,True,True,True,0.9935275080906149,True,331.63698049194335,949.95794785534,334.897,948.68,332.0,948.0,336.0,948.0,336.0,948.0,616.0,612.0,612.0,0.0024376170567653,0.0017236319005403,0.0047737720595764,0.004083742172278,2.0,0.000713985156225,0.0006900298872984,0.0012372895137744,0.0007999516942478,0.00070338187534,True,True,True,True,0.5075815786324817,0.7178386019581935,0.2591848748396652,0.3029793413927043,False,False,False
10.1016/j.jallcom.2007.01.015,279,2008.0,https://DOI.org/10.1016/j.jallcom.2007.01.015,tematdb,v1.1.6,True,True,True,0.99,True,322.796,520.921,322.266,523.825,324.0,520.0,324.0,522.0,324.0,520.0,196.0,198.0,196.0,0.9097939981006652,0.8938900112304271,1.0468116275078416,1.0195728791019736,1.0,0.0159039868702381,0.027238748405868,0.0278473242213588,0.0181872663392437,0.0170813553228578,True,True,True,True,0.0306083841831166,0.0311529649861814,0.0266020394592438,0.0273127353543244,True,True,False
10.1063/1.2172705,280,2006.0,https://DOI.org/10.1063/1.2172705,tematdb,v1.1.6,True,True,True,0.9607142857142856,True,299.59,846.366,308.661,858.859,300.0,846.0,310.0,858.0,310.0,846.0,546.0,548.0,536.0,0.5265543346316879,0.5231212668054896,0.9024542794195978,0.891311429374942,11.0,0.0034330678261982,0.0111428500446557,0.0415073725694313,0.0207586919166808,0.0173814649434781,True,True,True,True,0.0788282800833171,0.0793456034064562,0.0459938785997295,0.0465688772761947,True,True,False
10.1016/j.actamat.2009.02.026,281,2009.0,https://DOI.org/10.1016/j.actamat.2009.02.026,tematdb,v1.1.6,True,True,True,0.9872122762148338,True,297.058823529411,1070.51851851851,288.433382137628,1069.10688140556,298.0,1070.0,290.0,1068.0,298.0,1068.0,772.0,778.0,770.0,0.6426462041624695,0.6507480362764833,1.00711902113459,1.0502324716345743,-5.0,-0.0081018321140137,-0.0431134504999843,0.0494096869961813,0.0122319023020801,0.0072283380930533,True,True,True,True,0.0768847410537102,0.0759275237754057,0.0490604247951923,0.0470464286057356,True,True,False
10.1016/j.actamat.2010.03.025,282,2010.0,https://DOI.org/10.1016/j.actamat.2010.03.025,tematdb,v1.1.6,True,True,True,0.9927797833935018,True,298.898,849.89,297.988,851.441,300.0,848.0,298.0,850.0,300.0,848.0,548.0,552.0,548.0,0.9897933171248752,0.9853287005494904,1.4462197981651377,1.4649825574279884,0.0,0.0044646165753847,-0.0187627592628507,0.0220655170943869,0.0128319713412233,0.0112165627832242,True,True,True,True,0.0222930552395345,0.0223940671596003,0.0152573745169179,0.0150619657432143,True,True,False
10.1063/1.3027060,283,2008.0,https://DOI.org/10.1063/1.3027060,tematdb,v1.1.6,True,True,True,0.9953051643192488,True,318.977,1166.212,316.1034,1169.552,320.0,1166.0,318.0,1168.0,320.0,1166.0,846.0,850.0,846.0,0.7833792971006437,0.7687587351519577,1.3276582745491392,1.3083100076003154,0.0,0.0146205619486859,0.0193482669488238,0.0357967773285372,0.0212504556337414,0.0198987244902341,True,True,True,True,0.0456953323390397,0.0465643844963419,0.0269623426560524,0.0273610819458571,True,True,False
