SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
33,10257,True,0.9916666666666667,True,295.6063,775.4568,294.6092,770.3504,296.0,774.0,296.0,770.0,296.0,770.0,478.0,474.0,474.0,0.2957935059108593,0.29970346445246143,0.5461771806129918,0.5416862751491149,-2.0,-0.003909958541602143,0.004490905463876871,0.011515478333289253,0.004601645445595553,0.003263433551277149,True,True,True,True,0.038930801735585004,0.038422906970152236,0.021083777832616644,0.021258575049034206
33,10258,True,0.963855421686747,True,293.1067,772.9791,289.2183,786.5229,294.0,772.0,290.0,786.0,294.0,772.0,478.0,496.0,478.0,0.25173813826423913,0.2528610258524417,0.3518332172223431,0.34439255269944047,5.0,-0.001122887588202559,0.007440664522902651,0.011638446199141866,0.005331949103589501,0.004145544692751756,True,True,True,True,0.046232351916917214,0.04602704651658552,0.03307944113698304,0.03379412855451324
33,10259,True,0.9437751004016064,True,305.7855,774.711,289.2183,786.5229,306.0,774.0,290.0,786.0,306.0,774.0,468.0,496.0,468.0,0.21558069023956325,0.21780474542008135,0.4652498167042819,0.4513367903334696,-2.0,-0.002224055180518103,0.01391302637081232,0.008860044724962685,0.004273696740706541,0.003730228857677785,True,True,True,True,0.04109850801162661,0.040678841537057704,0.01904362862026495,0.019630672514900575
33,10261,True,0.9518072289156626,True,300.3901,775.5068,289.2183,787.8706,302.0,774.0,290.0,786.0,302.0,774.0,472.0,496.0,472.0,0.46116370377149274,0.46444032283536796,0.8372627144918438,0.8204751425745829,0.0,-0.003276619063875219,0.01678757191726088,0.013651485488710147,0.006474914247656629,0.005420514611045048,True,True,True,True,0.029602254854546137,0.029393411419079658,0.01630490078254062,0.016638511979623075
33,10262,True,0.944,True,299.1575,771.9275,290.566,790.566,300.0,770.0,292.0,790.0,300.0,770.0,470.0,498.0,470.0,0.3984591359134338,0.3909391303390338,0.6981361376997027,0.6748302368974602,6.0,0.007520005574399968,0.023305900802242485,0.005195569135564737,0.0024835129997574272,0.002077640622477287,True,True,True,True,0.013039151740502412,0.013289969543491304,0.0074420572937016,0.0076990757845283074
33,10263,True,0.8810126582278481,True,370.0529,1066.462,285.0299,1074.074,372.0,1066.0,286.0,1074.0,372.0,1066.0,694.0,788.0,694.0,0.6395557607682009,0.709592203827619,1.009346,1.0657077737522969,-39.0,-0.07003644305941814,-0.056361773752296784,0.059088622885123954,0.02141416121557934,0.014971269404412856,True,True,True,True,0.09239010342765078,0.08327124025094043,0.05854149408143882,0.055445427292958795
34,3129,True,0.9856115107913669,True,300.1515,848.3871,298.3108,854.0541,302.0,848.0,300.0,854.0,302.0,848.0,546.0,554.0,546.0,0.7171472549470773,0.6590655569728608,1.0756270701519406,0.9576670823303527,2.0,0.05808169797421647,0.1179599878215879,0.11497331336026118,0.06230266752629338,0.055822194143632445,True,True,True,True,0.16032037014315248,0.17444897877586338,0.10688956846727585,0.12005561795074886
34,3130,True,0.9891304347826086,True,300.0,844.8029,300.0,850.6757,300.0,844.0,300.0,850.0,300.0,844.0,544.0,550.0,544.0,0.7830489786460958,0.7275257963576264,1.2678258093405714,1.153329094336034,3.0,0.05552318228846942,0.11449671500453751,0.10683185788366889,0.059650245619445715,0.05022404076846018,True,True,True,True,0.13643062030217176,0.1468427077342479,0.0842638295391974,0.09262911896380407
34,3131,True,0.9963636363636363,True,299.7538,847.0638,298.3108,848.9865,300.0,846.0,300.0,848.0,300.0,846.0,546.0,548.0,546.0,0.6527013421806253,0.5838229068468529,1.1231614718514589,0.998507360719571,1.0,0.06887843533377236,0.12465411113188785,0.12127747018198154,0.07604141834089831,0.0671614275612511,True,True,True,True,0.18580851967731948,0.2077298933626713,0.10797865954399548,0.12145876430453485
34,3132,True,0.9927536231884058,True,300.0,846.6796,298.3108,850.6757,300.0,846.0,300.0,850.0,300.0,846.0,546.0,550.0,546.0,0.5924040808007556,0.5449364295970073,1.0517621408498259,0.947271178356341,2.0,0.047467651203748296,0.10449096249348488,0.09766036222606433,0.05253128463173984,0.04412954530703244,True,True,True,True,0.16485430366052903,0.17921422926025768,0.09285403841134134,0.10309652025465385
35,18881,True,0.9502617801047121,True,326.2945,1053.754,298.0157,1062.657,328.0,1052.0,300.0,1062.0,328.0,1052.0,724.0,762.0,724.0,0.44528467320572396,0.47112700612962616,0.6172313925907155,0.6417811083915238,-9.0,-0.0258423329239022,-0.024549715800808336,0.030790824902260927,0.016343461434039506,0.014099984279743192,True,True,True,True,0.06914862952858787,0.06535567798418485,0.04988538378293121,0.04797714438717435
35,18882,True,0.9469026548672567,True,328.02,970.8623,296.2327,975.6728,330.0,970.0,298.0,974.0,330.0,970.0,640.0,676.0,640.0,0.5591049975225266,0.5961807278481424,0.7623994778298853,0.7923295068786419,-14.0,-0.03707573032561573,-0.029930029048756635,0.04432230158642603,0.02294425135160342,0.020839512844468343,True,True,True,True,0.07927366377124945,0.07434373423375015,0.05813527274780701,0.05593922882038357
37,13625,True,0.9193548387096774,True,326.4987,668.3502,303.4234,675.9809,328.0,668.0,304.0,674.0,328.0,668.0,340.0,370.0,340.0,0.65024700093329,0.5170653674958069,1.1949745132359193,0.9311579578591803,-9.0,0.13318163343748313,0.263816555376739,0.3294100254194853,0.19394935392069815,0.17883247136612893,True,True,True,True,0.5065921487476112,0.6370761728151453,0.2756628043283222,0.353763851384388
